point_code,site,stream,location,point_no,trap_no,trap_code,date,canopy_photo,canopy_cover,canopy_photo_date,understory_first,understory_last,understory1,understory2,understory3,understory4,max_canopy,mean_canopy,stream_width,channel_width,stream_depth,stream_date,tree_count,diam1,diam2,diam3,diam4,diam5,diam6,diam7,diam8,diam9,diam10,diam11,diam12,diam13,diam14,diam15,diam16,diam17,diam18,diam19,diam20,diam21,diam22,diam_sum,diam_mean,diam_median
UPA2p_I4,UPA2p,Permanent,Interior,4,C,UPA2p_I4C,20/07/2016,5179,98.618,20/07/2016,7916,7919,NA,NA,NA,NA,18,14,NA,NA,NA,NA,4,30,46.7,30.8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.5,29.6,30.4
UPA2p_I4,UPA2p,Permanent,Interior,4,B,UPA2p_I4B,20/07/2016,5182,96.89,20/07/2016,7920,7923,NA,NA,NA,NA,18,14,NA,NA,NA,NA,7,24,24.2,90.6,18,19.2,70.7,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.7,38.4,24
UPA2p_I4,UPA2p,Permanent,Interior,4,A,UPA2p_I4A,20/07/2016,5185,97.215,20/07/2016,7924,7927,NA,NA,NA,NA,38,12,NA,NA,NA,NA,4,20.3,59,16,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.5,31.1,24.8
UPA2p_I3,UPA2p,Permanent,Interior,3,C,UPA2p_I3C,20/07/2016,5188,97.905,20/07/2016,7928,7931,NA,NA,NA,NA,28,28,NA,NA,NA,NA,5,44,14,43.4,28,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.4,31.1,28
UPA2p_I3,UPA2p,Permanent,Interior,3,B,UPA2p_I3B,20/07/2016,5191,98.886,20/07/2016,7932,7935,NA,NA,NA,NA,28,8,NA,NA,NA,NA,7,41,30.5,25.5,53.5,16,23,57.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.8,35.3,30.5
UPA2p_I3,UPA2p,Permanent,Interior,3,A,UPA2p_I3A,20/07/2016,5193,94.172,20/07/2016,7936,7939,NA,NA,NA,NA,45,32,NA,NA,NA,NA,9,133,15,28.5,23,27.6,22.5,28.3,107,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405.9,45.1,27.6
UPA2p_I2,UPA2p,Permanent,Interior,2,B,UPA2p_I2B,20/07/2016,5194,97.58,20/07/2016,7940,7943,NA,NA,NA,NA,45,14,NA,NA,NA,NA,22,35.7,85.5,23,35,19,30.7,16,13,28,50,15,29,37.4,18.7,15,76.4,35.2,23,115,28.4,32.3,11.5,772.8,35.1,28.7
UPA2p_I2,UPA2p,Permanent,Interior,2,C,UPA2p_I2C,20/07/2016,5195,98.035,20/07/2016,7944,7948,NA,NA,NA,NA,24,14,NA,NA,NA,NA,11,22,21,49.5,25,29,16,13,22,27.5,45,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,26,22
UPA2p_I2,UPA2p,Permanent,Interior,2,A,UPA2p_I2A,20/07/2016,5197,97.726,20/07/2016,7949,7952,NA,NA,NA,NA,45,22,NA,NA,NA,NA,8,18,199,76,23.5,113,50.8,16.2,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526.8,65.9,40.6
UPA2p_I1,UPA2p,Permanent,Interior,1,C,UPA2p_I1C,20/07/2016,5198,97.644,20/07/2016,7953,7956,NA,NA,NA,NA,16,14,NA,NA,NA,NA,11,30.6,24.3,30.6,15,30.5,70.1,23,34,24,20,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348.6,31.7,30.5
UPA2p_I1,UPA2p,Permanent,Interior,1,A,UPA2p_I1A,20/07/2016,5199,98.059,20/07/2016,7957,7961,NA,NA,NA,NA,26,22,NA,NA,NA,NA,7,30.6,154,75,21,20,30.4,40.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.6,53.1,30.6
UPA2p_I1,UPA2p,Permanent,Interior,1,B,UPA2p_I1B,20/07/2016,5200,95.273,20/07/2016,7962,7965,NA,NA,NA,NA,24,22,NA,NA,NA,NA,7,40.6,16.5,22,29,60.5,35,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.6,47.2,35
UPA5d_S1,UPA5d,Dry,Stream,1,A,UPA5d_S1A,20/07/2016,5201,96.434,20/07/2016,7966,7969,NA,NA,NA,NA,32,26,2.27,NA,NA,20/07/2016,7,57.5,16,116,19.7,90.2,26.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.9,50.1,26.5
UPA5d_S1,UPA5d,Dry,Stream,1,B,UPA5d_S1B,20/07/2016,5202,94.603,20/07/2016,7970,7973,NA,NA,NA,NA,50,22,3.8,NA,NA,20/07/2016,7,37,15,66.6,24,25,22,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203.9,29.1,24
UPA5d_S1,UPA5d,Dry,Stream,1,C,UPA5d_S1C,20/07/2016,5203,95.985,20/07/2016,7974,7978,NA,NA,NA,NA,42,22,4.52,NA,NA,20/07/2016,5,36,26,14,19,60.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.5,31.1,26
UPA5d_S2,UPA5d,Dry,Stream,2,A,UPA5d_S2A,20/07/2016,5207,98.321,20/07/2016,7979,7982,NA,NA,NA,NA,17,15,5.6,NA,NA,20/07/2016,5,30.7,21,19,20,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.7,23.9,21
UPA5d_S2,UPA5d,Dry,Stream,2,B,UPA5d_S2B,20/07/2016,5208,87.078,20/07/2016,7983,7987,NA,NA,NA,NA,NA,NA,5.3,NA,NA,20/07/2016,3,29,30.3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3,28.1,29
UPA5d_S2,UPA5d,Dry,Stream,2,C,UPA5d_S2C,20/07/2016,5211,94,20/07/2016,7988,7991,NA,NA,NA,NA,38,15,1.97,NA,NA,20/07/2016,8,32,70,14,20,120,77,173,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523,65.4,51
UPA5d_S3,UPA5d,Dry,Stream,3,A,UPA5d_S3A,20/07/2016,5213,95.172,20/07/2016,7992,7995,NA,NA,NA,NA,45,18,2.46,NA,NA,20/07/2016,5,25,28,15,30.7,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273.7,54.7,28
UPA5d_S3,UPA5d,Dry,Stream,3,B,UPA5d_S3B,20/07/2016,5214,96.714,20/07/2016,7996,7999,NA,NA,NA,NA,50,33,4.99,NA,NA,20/07/2016,6,22,126,16,31.4,23,30.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.1,41.5,26.9
UPA5d_S3,UPA5d,Dry,Stream,3,C,UPA5d_S3C,20/07/2016,5217,97.932,20/07/2016,8000,8004,NA,NA,NA,NA,35,15,4.03,NA,NA,20/07/2016,8,109,21,20,49,51,18,23,80.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.9,46.5,36
UPA5d_S4,UPA5d,Dry,Stream,4,A,UPA5d_S4A,20/07/2016,5218,94.762,20/07/2016,8005,8008,NA,NA,NA,NA,45,10,4.37,NA,NA,20/07/2016,6,25.5,30.3,40.6,16,21,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.4,27.9,27.9
UPA5d_S4,UPA5d,Dry,Stream,4,B,UPA5d_S4B,20/07/2016,5219,92.799,20/07/2016,8013,8012,NA,NA,NA,NA,25,15,3.52,NA,NA,20/07/2016,5,23,38,105,30.8,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.8,45.2,30.8
